,supermercado,precio
638,Carrefour,1.81
639,Carrefour,1.09
640,Carrefour,1.11
641,Carrefour,1.14
642,Carrefour,1.16
643,Carrefour,1.19
644,Carrefour,1.30
645,Carrefour,1.31
646,Carrefour,1.33
647,Carrefour,1.36
648,Carrefour,1.38
649,Carrefour,1.10
650,Carrefour,1.12
651,Carrefour,3.75
652,Carrefour,3.79
653,Carrefour,3.83
654,Carrefour,3.29
655,Carrefour,3.36
656,Carrefour,1.00
657,Carrefour,1.29
658,Carrefour,1.36
659,Carrefour,1.39
660,Carrefour,1.34
661,Carrefour,1.36
662,Carrefour,1.37
663,Carrefour,1.86
664,Carrefour,1.90
665,Carrefour,1.58
666,Carrefour,1.60
667,Carrefour,1.63
668,Carrefour,1.05
669,Carrefour,1.07
670,Carrefour,2.45
671,Carrefour,2.49
672,Carrefour,2.54
673,Carrefour,1.19
674,Carrefour,1.22
675,Carrefour,1.33
676,Carrefour,1.36
677,Carrefour,1.37
678,Carrefour,1.12
679,Carrefour,1.13
680,Carrefour,1.14
681,Carrefour,1.16
682,Carrefour,1.50
683,Carrefour,1.65
684,Carrefour,1.84
685,Carrefour,1.88
686,Carrefour,1.00
687,Carrefour,1.14
688,Carrefour,1.16
689,Carrefour,1.32
690,Carrefour,1.34
691,Carrefour,1.37
692,Carrefour,1.40
693,Carrefour,1.19
694,Carrefour,1.50
695,Carrefour,1.53
696,Carrefour,0.95
697,Carrefour,1.14
698,Carrefour,1.20
699,Carrefour,1.05
700,Carrefour,1.11
701,Carrefour,1.13
702,Carrefour,1.14
703,Carrefour,1.18
704,Carrefour,1.19
705,Carrefour,1.20
706,Carrefour,1.09
707,Carrefour,1.19
708,Carrefour,1.36
709,Carrefour,1.39
710,Carrefour,1.41
711,Carrefour,0.93
712,Carrefour,1.10
713,Carrefour,1.22
714,Carrefour,1.24
715,Carrefour,1.25
716,Carrefour,1.29
717,Carrefour,1.58
718,Carrefour,1.60
719,Carrefour,2.39
720,Carrefour,3.09
721,Carrefour,1.58
722,Carrefour,2.85
723,Carrefour,2.09
724,Carrefour,1.00
725,Carrefour,1.00
726,Carrefour,2.19
727,Carrefour,2.05
728,Carrefour,2.05
729,Carrefour,3.05
730,Carrefour,3.11
731,Carrefour,3.85
732,Carrefour,3.85
733,Carrefour,3.85
734,Carrefour,8.05
735,Carrefour,4.59
736,Carrefour,3.85
737,Carrefour,4.49
738,Carrefour,4.58
739,Carrefour,4.59
740,Carrefour,4.68
741,Carrefour,9.99
742,Carrefour,27.10
743,Carrefour,23.74
744,Carrefour,16.45
745,Carrefour,15.89
746,Carrefour,17.69
747,Carrefour,1.00
748,Carrefour,1.27
749,Carrefour,1.29
750,Carrefour,1.33
751,Carrefour,1.36
752,Carrefour,0.73
753,Carrefour,0.75
754,Carrefour,0.79
755,Carrefour,0.81
756,Carrefour,1.39
757,Carrefour,1.42
758,Carrefour,0.81
759,Carrefour,0.83
760,Carrefour,1.53
761,Carrefour,1.56
762,Carrefour,7.19
763,Carrefour,7.47
764,Carrefour,8.19
765,Carrefour,0.88
766,Carrefour,0.89
767,Carrefour,0.91
768,Carrefour,1.65
769,Carrefour,1.68
770,Carrefour,1.75
771,Carrefour,1.78
772,Carrefour,1.05
773,Carrefour,1.07
774,Carrefour,1.09
775,Carrefour,1.11
776,Carrefour,0.72
777,Carrefour,1.15
778,Carrefour,1.25
779,Carrefour,1.29
