,supermercado,precio
450,Alcampo,9.08
451,Alcampo,6.99
452,Alcampo,7.59
453,Alcampo,7.64
454,Alcampo,8.15
455,Alcampo,9.08
456,Alcampo,9.54
457,Alcampo,9.84
458,Alcampo,52.37
459,Alcampo,53.42
460,Alcampo,54.27
461,Alcampo,55.36
462,Alcampo,8.64
463,Alcampo,8.81
464,Alcampo,4.98
465,Alcampo,5.18
466,Alcampo,5.50
467,Alcampo,11.41
468,Alcampo,11.64
469,Alcampo,57.13
470,Alcampo,58.27
471,Carrefour,6.99
472,Carrefour,8.85
473,Carrefour,9.29
474,Carrefour,9.48
475,Carrefour,10.49
476,Carrefour,8.89
477,Carrefour,9.07
478,Carrefour,9.51
479,Carrefour,9.55
480,Carrefour,32.95
481,Carrefour,33.95
482,Carrefour,34.45
483,Carrefour,36.75
484,Carrefour,47.40
485,Carrefour,50.20
486,Carrefour,51.20
487,Carrefour,55.43
488,Carrefour,10.69
489,Carrefour,10.95
490,Carrefour,11.39
491,Carrefour,11.85
492,Carrefour,12.09
493,Carrefour,13.23
494,Carrefour,6.62
495,Carrefour,6.95
496,Carrefour,6.95
497,Carrefour,7.09
498,Carrefour,7.60
499,Carrefour,7.98
500,Carrefour,32.45
501,Carrefour,33.09
502,Carrefour,35.95
503,Carrefour,37.86
504,Carrefour,37.90
505,Carrefour,37.95
506,Carrefour,39.75
507,Carrefour,10.29
508,Carrefour,10.99
509,Carrefour,11.21
510,Carrefour,11.85
511,Carrefour,11.86
512,Carrefour,12.45
513,Carrefour,13.45
514,Carrefour,6.99
515,Carrefour,8.85
516,Carrefour,9.29
517,Carrefour,9.48
518,Carrefour,10.49
519,Carrefour,32.45
520,Carrefour,33.79
521,Carrefour,34.25
522,Carrefour,37.45
523,Carrefour,37.75
524,Carrefour,39.45
525,Carrefour,46.30
526,Carrefour,47.20
527,Carrefour,47.23
528,Carrefour,47.24
529,Carrefour,48.20
530,Carrefour,49.60
531,Carrefour,10.69
532,Carrefour,10.95
533,Carrefour,11.39
534,Carrefour,11.85
535,Carrefour,12.09
536,Carrefour,12.95
537,Carrefour,13.32
538,Carrefour,13.99
539,Carrefour,32.95
540,Carrefour,33.95
541,Carrefour,34.45
542,Carrefour,36.75
543,Carrefour,47.40
544,Carrefour,48.80
545,Carrefour,49.78
546,Carrefour,53.81
547,Carrefour,20.90
548,Carrefour,22.10
549,Carrefour,24.19
550,Carrefour,10.69
551,Carrefour,10.95
552,Carrefour,11.39
553,Carrefour,11.85
554,Carrefour,12.09
555,Carrefour,13.32
556,Carrefour,6.62
557,Carrefour,6.95
558,Carrefour,6.95
559,Carrefour,7.09
560,Carrefour,7.60
561,Carrefour,7.98
562,Carrefour,32.45
563,Carrefour,33.09
564,Carrefour,35.95
565,Carrefour,37.86
566,Carrefour,37.90
567,Carrefour,37.95
568,Carrefour,39.75
569,Carrefour,37.90
570,Carrefour,40.20
571,Carrefour,41.00
572,Carrefour,42.57
573,Carrefour,44.70
574,Carrefour,10.29
575,Carrefour,10.99
576,Carrefour,11.21
577,Carrefour,11.85
578,Carrefour,11.86
579,Carrefour,12.45
580,Carrefour,13.45
581,Carrefour,32.45
582,Carrefour,33.79
583,Carrefour,34.25
584,Carrefour,37.45
585,Carrefour,37.75
586,Carrefour,46.30
587,Carrefour,47.20
588,Carrefour,47.23
589,Carrefour,47.24
590,Carrefour,48.20
591,Carrefour,37.95
592,Carrefour,38.05
593,Carrefour,38.71
594,Carrefour,39.95
595,Carrefour,11.95
596,Carrefour,11.99
597,Carrefour,12.39
598,Carrefour,12.65
599,Carrefour,12.69
600,Carrefour,12.90
601,Carrefour,14.24
602,Carrefour,39.95
603,Carrefour,46.00
604,Carrefour,48.30
605,Carrefour,50.95
606,Carrefour,53.30
607,Carrefour,54.37
608,Carrefour,7.75
609,Carrefour,7.90
610,Carrefour,8.06
611,Carrefour,8.25
612,Carrefour,8.51
613,Carrefour,8.94
614,Carrefour,37.13
615,Carrefour,37.45
616,Carrefour,39.00
617,Carrefour,39.95
618,Carrefour,40.50
619,Carrefour,41.67
620,Carrefour,43.75
621,Carrefour,30.84
622,Carrefour,3.79
623,Carrefour,4.15
624,Carrefour,4.19
625,Carrefour,4.23
626,Carrefour,4.24
627,Carrefour,4.25
628,Carrefour,14.19
629,Carrefour,14.59
630,Carrefour,14.88
631,Carrefour,15.23
632,Carrefour,9.48
633,Carrefour,9.49
634,Carrefour,9.95
635,Carrefour,10.15
636,Carrefour,12.49
637,Carrefour,12.99
638,Carrefour,13.25
639,Carrefour,13.75
640,Carrefour,13.76
641,Carrefour,13.79
642,Carrefour,13.35
643,Carrefour,13.59
644,Carrefour,14.28
645,Carrefour,14.55
646,Carrefour,14.57
647,Carrefour,12.79
648,Carrefour,12.81
649,Carrefour,13.45
650,Carrefour,12.49
651,Carrefour,13.15
652,Carrefour,13.41
653,Carrefour,13.71
654,Carrefour,14.39
655,Carrefour,39.75
656,Carrefour,42.75
657,Carrefour,43.95
658,Carrefour,44.83
659,Carrefour,44.89
660,Carrefour,2.85
661,Carrefour,2.91
662,Carrefour,12.99
663,Carrefour,13.20
664,Carrefour,13.79
665,Carrefour,13.80
666,Carrefour,14.08
667,Carrefour,15.19
668,Carrefour,15.95
669,Carrefour,4.19
670,Carrefour,4.55
671,Carrefour,4.59
672,Carrefour,4.62
673,Carrefour,4.64
674,Carrefour,4.85
675,Carrefour,40.95
676,Carrefour,42.95
677,Carrefour,56.00
678,Carrefour,56.60
679,Carrefour,57.12
680,Carrefour,58.30
681,Carrefour,60.00
682,Carrefour,63.00
683,Carrefour,8.85
684,Carrefour,8.93
685,Carrefour,9.11
686,Carrefour,9.18
687,Carrefour,9.64
688,Carrefour,5.65
689,Carrefour,5.67
690,Carrefour,5.95
691,Carrefour,6.07
692,Carrefour,7.59
693,Carrefour,7.70
694,Carrefour,7.74
695,Carrefour,7.75
696,Carrefour,8.09
697,Carrefour,43.26
698,Carrefour,44.40
699,Carrefour,45.67
700,Carrefour,2.90
701,Carrefour,2.99
702,Carrefour,3.05
703,Carrefour,3.13
704,Carrefour,3.15
705,Carrefour,3.29
706,Carrefour,12.49
707,Carrefour,12.99
708,Carrefour,13.25
709,Carrefour,13.75
710,Carrefour,13.76
711,Carrefour,13.79
712,Carrefour,38.95
713,Carrefour,41.75
714,Carrefour,51.40
715,Carrefour,52.90
716,Carrefour,53.00
717,Carrefour,53.96
718,Carrefour,57.62
719,Carrefour,57.70
720,Carrefour,7.99
721,Carrefour,9.39
722,Carrefour,10.29
723,Carrefour,10.50
724,Carrefour,10.62
725,Carrefour,11.39
726,Carrefour,13.35
727,Carrefour,13.59
728,Carrefour,14.28
729,Carrefour,14.55
730,Carrefour,14.57
731,Carrefour,43.95
732,Carrefour,56.29
733,Carrefour,56.30
734,Carrefour,57.43
735,Carrefour,12.33
736,Carrefour,12.35
737,Carrefour,13.35
738,Carrefour,13.62
739,Carrefour,28.50
740,Carrefour,28.52
741,Carrefour,30.20
742,Carrefour,30.80
743,Carrefour,7.29
744,Carrefour,7.99
745,Carrefour,8.15
746,Carrefour,7.29
747,Carrefour,7.99
748,Carrefour,8.15
749,Carrefour,7.29
750,Carrefour,7.99
751,Carrefour,8.15
752,Carrefour,7.29
753,Carrefour,7.65
754,Carrefour,7.99
755,Carrefour,8.15
756,Carrefour,51.33
757,Carrefour,52.36
758,Carrefour,7.29
759,Carrefour,7.99
760,Carrefour,8.15
761,Carrefour,51.38
762,Carrefour,51.40
763,Carrefour,51.43
764,Carrefour,54.50
765,Carrefour,55.59
766,Carrefour,12.33
767,Carrefour,12.35
768,Carrefour,13.35
769,Carrefour,13.62
770,Carrefour,7.29
771,Carrefour,7.65
772,Carrefour,7.99
773,Carrefour,8.15
774,Carrefour,10.33
775,Carrefour,10.85
776,Carrefour,10.89
777,Carrefour,11.15
778,Carrefour,11.37
779,Carrefour,10.83
780,Carrefour,10.89
781,Carrefour,10.90
782,Carrefour,11.45
783,Carrefour,14.15
784,Carrefour,14.89
785,Carrefour,15.19
786,Carrefour,32.10
787,Carrefour,32.14
788,Carrefour,33.75
789,Carrefour,37.30
790,Carrefour,38.05
791,Carrefour,6.95
792,Carrefour,7.69
793,Carrefour,7.75
794,Carrefour,7.76
795,Carrefour,7.84
796,Carrefour,6.84
797,Carrefour,6.85
798,Carrefour,7.55
799,Carrefour,7.70
800,Carrefour,13.99
801,Carrefour,15.09
802,Carrefour,15.13
803,Carrefour,15.25
804,Carrefour,15.33
805,Carrefour,15.39
806,Carrefour,15.49
807,Carrefour,16.09
808,Carrefour,16.35
809,Carrefour,16.39
810,Carrefour,16.85
811,Carrefour,15.79
812,Carrefour,15.80
813,Carrefour,16.11
814,Carrefour,10.85
815,Carrefour,11.32
816,Carrefour,11.39
817,Carrefour,11.65
818,Carrefour,11.88
819,Carrefour,11.89
820,Carrefour,12.09
821,Carrefour,12.55
822,Carrefour,12.65
823,Carrefour,12.69
824,Carrefour,12.80
825,Carrefour,10.49
826,Carrefour,11.09
827,Carrefour,11.19
828,Carrefour,11.31
829,Carrefour,11.35
830,Carrefour,11.75
831,Carrefour,13.65
832,Carrefour,13.92
833,Carrefour,14.19
834,Carrefour,14.59
835,Carrefour,15.23
836,Carrefour,9.48
837,Carrefour,9.49
838,Carrefour,9.95
839,Carrefour,10.15
840,Carrefour,12.49
841,Carrefour,12.99
842,Carrefour,13.25
843,Carrefour,13.75
844,Carrefour,13.76
845,Carrefour,13.79
846,Carrefour,13.35
847,Carrefour,13.59
848,Carrefour,14.28
849,Carrefour,14.55
850,Carrefour,14.57
851,Carrefour,10.89
852,Carrefour,11.59
853,Carrefour,11.75
854,Carrefour,11.80
855,Carrefour,11.82
856,Carrefour,12.49
857,Carrefour,12.99
858,Carrefour,13.25
859,Carrefour,13.75
860,Carrefour,13.76
861,Carrefour,13.79
862,Carrefour,13.35
863,Carrefour,13.70
864,Carrefour,13.79
865,Carrefour,14.19
866,Carrefour,14.47
867,Carrefour,15.57
868,Carrefour,13.23
869,Carrefour,13.25
870,Carrefour,13.89
871,Carrefour,13.90
